usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-In-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSELB,EUC1-DataTransfer-Out-Bytes,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.0
2026-09-04T13:00:00Z,AWSQueueService,EUC1-Requests-Tier1,arn:aws:sqs:eu-central-1:790348267926:simple-rag-cluster-karpenter-interruption,shared,,0.0
2026-09-04T13:00:00Z,AWSQueueService,EUC1-Requests-Tier1,arn:aws:sqs:eu-central-1:790348267926:simple-rag-stage-1-parsing,shared,,0.0
2026-09-04T13:00:00Z,AWSQueueService,EUC1-Requests-Tier1,arn:aws:sqs:eu-central-1:790348267926:simple-rag-stage-2-indexing,shared,,0.0
2026-09-04T13:00:00Z,AWSQueueService,EUC1-Requests-Tier1,arn:aws:sqs:eu-central-1:790348267926:simple-rag-cluster-karpenter-interruption,shared,,0.0
